""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"DEPBlank3-14-24"	1309	122	103	86	86
"DEPBlank3-6-24"	1111	121	92	86	86
"FLP1"	16663	10428	9710	8825	8825
"FLP101"	14794	7768	7362	6208	6208
"FLP102"	4800	2090	1863	625	625
"FLP104"	4974	2040	1783	1394	1394
"FLP105"	10798	5251	4785	4252	4252
"FLP107"	4779	2618	2370	1886	1886
"FLP11"	7000	2496	2010	1763	1763
"FLP110"	22046	20416	20216	13861	13861
"FLP111"	63523	57611	56957	54281	54281
"FLP113"	23941	13166	11936	9595	9595
"FLP114"	39258	33334	32636	29120	29120
"FLP12"	21457	13863	12811	10651	10651
"FLP14"	23679	17745	17047	16092	16092
"FLP16"	7185	2954	2200	1862	1862
"FLP2"	13548	4042	3098	2107	2107
"FLP21"	29229	15717	13940	10008	10008
"FLP22"	8525	3993	3352	2094	2094
"FLP23"	60037	52349	51860	50124	50124
"FLP25"	5535	1650	1397	1115	1115
"FLP26"	128774	119463	118557	112101	112101
"FLP28"	4916	1832	1415	1249	1249
"FLP3"	8655	3685	3010	2287	2287
"FLP30"	11425	7194	6734	5923	5923
"FLP31"	12792	5148	4242	2887	2887
"FLP32"	20693	12946	11747	10297	10297
"FLP33"	53658	48383	47591	45905	45905
"FLP35"	16486	5831	4782	3508	3508
"FLP36"	22163	10064	8635	7511	7511
"FLP37"	21122	3721	2138	1332	1332
"FLP38"	17614	6635	5290	2609	2609
"FLP39"	12622	6293	5534	1648	1648
"FLP4"	9069	4388	3761	3228	3228
"FLP40"	13217	5033	4020	2818	2818
"FLP41"	12443	4768	3942	3330	3330
"FLP42"	7593	3235	2728	2322	2322
"FLP44"	7090	1611	1110	997	997
"FLP45"	8815	3968	3421	2932	2932
"FLP47"	11551	4495	3692	3160	3160
"FLP48"	30459	20285	18547	16732	16732
"FLP5"	12005	7556	6812	5926	5926
"FLP50"	10478	3788	2996	2627	2627
"FLP51"	9344	6940	6765	6561	6561
"FLP53"	33640	17935	16580	13065	13065
"FLP54"	19991	9651	8411	6543	6543
"FLP55"	15355	8836	7977	7211	7211
"FLP56"	30468	20089	19194	17045	17045
"FLP58"	12724	5932	5078	3150	3150
"FLP59"	27275	11152	9776	7585	7585
"FLP60"	8886	4460	3706	2828	2828
"FLP61"	21792	12773	11592	10202	10202
"FLP62"	25408	15337	14403	13279	13279
"FLP63"	30635	15246	14308	13075	13075
"FLP65"	15097	7309	6587	5930	5930
"FLP66"	11055	3315	2688	2457	2457
"FLP67"	8695	3907	3087	2629	2629
"FLP7"	15972	9818	8764	6824	6824
"FLP71"	18833	8990	7782	6371	6371
"FLP72"	24499	18174	17386	15937	15937
"FLP73"	37248	29458	28691	26855	26855
"FLP74"	10974	3789	3141	2693	2693
"FLP78"	15472	7667	6472	5438	5438
"FLP79"	46422	36827	36032	34077	34077
"FLP8"	11438	8908	8150	7125	7125
"FLP81"	5718	1900	1570	1296	1296
"FLP82"	119148	89281	87582	79211	79211
"FLP84"	16970	14074	13640	11872	11872
"FLP85"	13165	5475	4753	3248	3248
"FLP86"	10419	3483	2629	1912	1912
"FLP87"	10693	3595	2941	2581	2581
"FLP89"	30250	14979	13920	12948	12948
"FLP90"	24844	11899	10299	8578	8578
"FLP92"	6847	1768	1367	1195	1195
"FLP93"	7051	2261	1905	1672	1672
"FLP94"	12261	4795	4028	3222	3222
"FLP95"	14075	7515	6934	4632	4632
"FLP96"	41315	37457	37260	33754	33754
"FLP99"	6593	2112	1776	1362	1362
