Sample Name	Condition	Site	Specific Site	Con
FLP1	Healthy	Carysfort	Carysfort South	H
FLP2	Healthy	Carysfort	Carysfort South	H
FLP3	Healthy	Carysfort	Carysfort South	H
FLP4	Unaffected	Carysfort	Carysfort South	U
FLP5	Diseased	Carysfort	Carysfort South	D
FLP7	Unaffected	Carysfort	Carysfort South	U
FLP8	Diseased	Carysfort	Carysfort South	D
FLP11	Unaffected	Carysfort	Carysfort South	U
FLP12	Diseased	Carysfort	Carysfort South	D
FLP14	Diseased	Carysfort	Carysfort South	D
FLP16	Unaffected	Carysfort	Carysfort South	U
FLP31	Healthy	Carysfort	Carysfort South	H
FLP32	Unaffected	Carysfort	Carysfort South	U
FLP33	Diseased	Carysfort	Carysfort South	D
FLP35	Healthy	Carysfort	Carysfort South	H
FLP36	Healthy	Carysfort	Carysfort South	H
FLP37	Healthy	Carysfort	Carysfort South	H
FLP38	Healthy	Carysfort	Carysfort Main	H
FLP39	Healthy	Carysfort	Carysfort Main	H
FLP40	Healthy	Carysfort	Carysfort Main	H
FLP21	Healthy	Grecian/KLDR	Key Largo Dry Rocks	H
FLP22	Unaffected	Grecian/KLDR	Key Largo Dry Rocks	U
FLP23	Diseased	Grecian/KLDR	Key Largo Dry Rocks	D
FLP25	Unaffected	Grecian/KLDR	Key Largo Dry Rocks	U
FLP26	Diseased	Grecian/KLDR	Key Largo Dry Rocks	D
FLP28	Diseased	Grecian/KLDR	Key Largo Dry Rocks	D
FLP30	Diseased	Grecian/KLDR	Key Largo Dry Rocks	D
FLP41	Unaffected	Grecian/KLDR	Grecian Rocks	U
FLP42	Diseased	Grecian/KLDR	Grecian Rocks	D
FLP44	Unaffected	Grecian/KLDR	Grecian Rocks	U
FLP45	Diseased	Grecian/KLDR	Grecian Rocks	D
FLP47	Unaffected	Grecian/KLDR	Key Largo Dry Rocks	U
FLP48	Diseased	Grecian/KLDR	Key Largo Dry Rocks	D
FLP50	Healthy	Grecian/KLDR	Grecian Rocks	H
FLP51	Unaffected	Grecian/KLDR	Key Largo Dry Rocks	U
FLP53	Healthy	Grecian/KLDR	Key Largo Dry Rocks	H
FLP54	Healthy	Grecian/KLDR	Key Largo Dry Rocks	H
FLP55	Unaffected	Grecian/KLDR	Key Largo Dry Rocks	U
FLP56	Diseased	Grecian/KLDR	Key Largo Dry Rocks	D
FLP61	Healthy	Grecian/KLDR	Key Largo Dry Rocks	H
FLP62	Unaffected	Grecian/KLDR	Key Largo Dry Rocks	U
FLP63	Healthy	Grecian/KLDR	Grecian Rocks	H
FLP71	Healthy	Grecian/KLDR	Grecian Rocks	H
FLP72	Healthy	Grecian/KLDR	Grecian Rocks	H
FLP73	Unaffected	Grecian/KLDR	Grecian Rocks	U
FLP74	Diseased	Grecian/KLDR	Grecian Rocks	D
FLP78	Unaffected	Grecian/KLDR	Grecian Rocks	U
FLP79	Diseased	Grecian/KLDR	Grecian Rocks	D
FLP58	Healthy	Looe	Looe Key	H
FLP59	Healthy	Looe	Looe Key	H
FLP60	Healthy	Looe	Looe Key	H
FLP65	Healthy	Looe	Looe Key	H
FLP66	Unaffected	Looe	Looe Key	U
FLP67	Diseased	Looe	Looe Key	D
FLP81	Unaffected	Looe	Looe Key	U
FLP82	Diseased	Looe	Looe Key	D
FLP84	Healthy	Looe	Looe Key	H
FLP85	Healthy	Looe	Looe Key	H
FLP86	Unaffected	Looe	Looe Key	U
FLP87	Diseased	Looe	Looe Key	D
FLP89	Unaffected	Looe	Looe Key	U
FLP90	Diseased	Looe	Looe Key	D
FLP92	Healthy	Looe	Looe Key	H
FLP93	Healthy	Looe	Looe Key	H
FLP94	Healthy	Looe	Looe Key	H
FLP95	Unaffected	Looe	Looe Key	U
FLP96	Diseased	Looe	Looe Key	D
FLP99	Healthy	Looe	Looe Key	H
FLP101	Unaffected	Looe	Looe Key	U
FLP102	Diseased	Looe	Looe Key	D
FLP104	Unaffected	Looe	Looe Key	U
FLP105	Diseased	Looe	Looe Key	D
FLP107	Unaffected	Looe	Looe Key	U
FLP110	Unaffected	Looe	Looe Key	U
FLP111	Diseased	Looe	Looe Key	D
FLP113	Unaffected	Looe	Looe Key	U
FLP114	Diseased	Looe	Looe Key	D
