Sample Name	Condition	Site
FLP1	Healthy	Carysfort South
FLP2	Healthy	Carysfort South
FLP3	Healthy	Carysfort South
FLP4	Unaffected	Carysfort South
FLP5	Diseased	Carysfort South
FLP7	Unaffected	Carysfort South
FLP8	Diseased	Carysfort South
FLP11	Unaffected	Carysfort South
FLP12	Diseased	Carysfort South
FLP14	Diseased	Carysfort South
FLP16	Unaffected	Carysfort South
FLP31	Healthy	Carysfort South
FLP32	Unaffected	Carysfort South
FLP33	Diseased	Carysfort South
FLP35	Healthy	Carysfort South
FLP36	Healthy	Carysfort South
FLP37	Healthy	Carysfort South
FLP38	Healthy	Carysfort Main
FLP39	Healthy	Carysfort Main
FLP40	Healthy	Carysfort Main
FLP21	Healthy	Key Largo Dry Rocks
FLP22	Unaffected	Key Largo Dry Rocks
FLP23	Diseased	Key Largo Dry Rocks
FLP25	Unaffected	Key Largo Dry Rocks
FLP26	Diseased	Key Largo Dry Rocks
FLP28	Diseased	Key Largo Dry Rocks
FLP30	Diseased	Key Largo Dry Rocks
FLP41	Unaffected	Grecian Rocks
FLP42	Diseased	Grecian Rocks
FLP44	Unaffected	Grecian Rocks
FLP45	Diseased	Grecian Rocks
FLP47	Unaffected	Key Largo Dry Rocks
FLP48	Diseased	Key Largo Dry Rocks
FLP50	Healthy	Grecian Rocks
FLP51	Unaffected	Key Largo Dry Rocks
FLP53	Healthy	Key Largo Dry Rocks
FLP54	Healthy	Key Largo Dry Rocks
FLP55	Unaffected	Key Largo Dry Rocks
FLP56	Diseased	Key Largo Dry Rocks
FLP61	Healthy	Key Largo Dry Rocks
FLP62	Unaffected	Key Largo Dry Rocks
FLP63	Healthy	Grecian Rocks
FLP71	Healthy	Grecian Rocks
FLP72	Healthy	Grecian Rocks
FLP73	Unaffected	Grecian Rocks
FLP74	Diseased	Grecian Rocks
FLP78	Unaffected	Grecian Rocks
FLP79	Diseased	Grecian Rocks
FLP58	Healthy	Looe Key
FLP59	Healthy	Looe Key
FLP60	Healthy	Looe Key
FLP65	Healthy	Looe Key
FLP66	Unaffected	Looe Key
FLP67	Diseased	Looe Key
FLP81	Unaffected	Looe Key
FLP82	Diseased	Looe Key
FLP84	Healthy	Looe Key
FLP85	Healthy	Looe Key
FLP86	Unaffected	Looe Key
FLP87	Diseased	Looe Key
FLP89	Unaffected	Looe Key
FLP90	Diseased	Looe Key
FLP92	Healthy	Looe Key
FLP93	Healthy	Looe Key
FLP94	Healthy	Looe Key
FLP95	Unaffected	Looe Key
FLP96	Diseased	Looe Key
FLP99	Healthy	Looe Key
FLP101	Unaffected	Looe Key
FLP102	Diseased	Looe Key
FLP104	Unaffected	Looe Key
FLP105	Diseased	Looe Key
FLP107	Unaffected	Looe Key
FLP110	Unaffected	Looe Key
FLP111	Diseased	Looe Key
FLP113	Unaffected	Looe Key
FLP114	Diseased	Looe Key
